fname,thalami,midbrain,IT,CM,NT,nasal_tip,nasal_skin,risk_score,heuristic_label
0,0.7699209451675415,0.7215682864189148,0.791630744934082,0.4825093150138855,0.0,0.707680344581604,0.919560432434082,0.5,0
1,0.6639426350593567,0.7583163380622864,0.6975966691970825,0.6170318126678467,0.0,0.39027562737464905,0.0,1.11,1
10,0.7820597290992737,0.7850702404975891,0.6243306398391724,0.6236394643783569,0.41449975967407227,0.0,0.0,1.09,1
100,0.689683735370636,0.0,0.46889445185661316,0.0,0.5825905203819275,0.4157163202762604,0.0,0.58,0
101,0.7776750326156616,0.8141528367996216,0.7179936766624451,0.5706958770751953,0.0,0.35468557476997375,0.0,1.15,1
102,0.7394788265228271,0.5611260533332825,0.7533940076828003,0.5042490363121033,0.0,0.0,0.0,1.5,1
103,0.7976933717727661,0.7108763456344604,0.5432263016700745,0.25938680768013,0.46479174494743347,0.39375215768814087,0.0,0.64,0
104,0.7283888459205627,0.7725018262863159,0.7852320671081543,0.5635043978691101,0.3132559359073639,0.0,0.0,1.19,1
105,0.8375858068466187,0.7961984276771545,0.803667426109314,0.0,0.45443645119667053,0.0,0.0,1.05,1
106,0.8559675812721252,0.7619407773017883,0.7871323227882385,0.7313598394393921,0.5959159731864929,0.0,0.0,1.0,0
107,0.7820931673049927,0.7752720713615417,0.8196728229522705,0.5677533745765686,0.33545151352882385,0.49749302864074707,0.2780570685863495,0.39,0
108,0.7325546741485596,0.6797241568565369,0.6555875539779663,0.5064202547073364,0.5037254691123962,0.41259461641311646,0.43697139620780945,0.15,0
109,0.7799734473228455,0.7487525939941406,0.7368906736373901,0.2623414099216461,0.0,0.41413068771362305,0.3704831302165985,0.72,0
11,0.8061695098876953,0.6582160592079163,0.7170312404632568,0.5925135016441345,0.6996378302574158,0.34422704577445984,0.3256181478500366,0.33,0
110,0.5339710712432861,0.5900236964225769,0.5735071897506714,0.6048719882965088,0.43463200330734253,0.5739927887916565,0.516783595085144,0.07,0
111,0.8028095960617065,0.46393656730651855,0.8007534742355347,0.5632609128952026,0.4557304084300995,0.0,0.0,1.04,1
112,0.6985270977020264,0.5109371542930603,0.6495232582092285,0.0,0.5562812089920044,0.0,0.0,1.0,0
113,0.7560873627662659,0.6085440516471863,0.0,0.0,0.321871280670166,0.601900041103363,0.8509184718132019,0.18,0
114,0.875374436378479,0.7557079792022705,0.5735132694244385,0.0,0.28250083327293396,0.3357546329498291,0.5759618282318115,0.38,0
115,0.7726603150367737,0.8048800230026245,0.7398003935813904,0.5000178813934326,0.5040455460548401,0.45061811804771423,0.2584436535835266,0.29,0
116,0.7953152060508728,0.7698811888694763,0.5368452668190002,0.27609696984291077,0.4344620108604431,0.6527500152587891,0.0,0.57,0
117,0.7490707635879517,0.6519869565963745,0.719131588935852,0.4889715909957886,0.0,0.5613235831260681,0.0,1.0,0
118,0.7889052629470825,0.7902623414993286,0.6579352021217346,0.5037526488304138,0.0,0.30241140723228455,0.0,1.2,1
119,0.7069963216781616,0.6331464648246765,0.5215715765953064,0.0,0.2815197706222534,0.2967832088470459,0.0,0.92,0
12,0.742057740688324,0.30492496490478516,0.0,0.48391208052635193,0.26033344864845276,0.0,0.0,1.24,1
120,0.8499916195869446,0.8046051859855652,0.6844397783279419,0.29721707105636597,0.32189345359802246,0.5919181108474731,0.0,0.68,0
121,0.8193948268890381,0.7372792363166809,0.6358993053436279,0.5753021240234375,0.25984516739845276,0.4631791412830353,0.0,0.78,0
122,0.2896573841571808,0.7751129269599915,0.3916158676147461,0.0,0.0,0.2583146393299103,0.0,1.24,1
123,0.8323378562927246,0.7612987160682678,0.77256840467453,0.5034624934196472,0.33493372797966003,0.3390311002731323,0.0,0.83,0
124,0.8305511474609375,0.7119289040565491,0.4972348213195801,0.5917863845825195,0.5906078815460205,0.574066698551178,0.0,0.5,0
125,0.818356454372406,0.749161958694458,0.5924957394599915,0.7917380332946777,0.3929435908794403,0.0,0.0,1.11,1
126,0.7142097353935242,0.64527428150177,0.712142288684845,0.36429640650749207,0.0,0.5591638088226318,0.637240469455719,0.5,0
127,0.8196758031845093,0.7577287554740906,0.29827356338500977,0.0,0.0,0.5554085969924927,0.6929458379745483,0.5,0
128,0.7857793569564819,0.6580793857574463,0.597407877445221,0.5317866802215576,0.28500235080718994,0.0,0.0,1.21,1
129,0.35796985030174255,0.5776221752166748,0.5151418447494507,0.45669254660606384,0.5730213522911072,0.0,0.5122806429862976,0.5,0
13,0.8433123826980591,0.716032087802887,0.6122297644615173,0.6741881370544434,0.591793954372406,0.2804771959781647,0.664673388004303,0.22,0
130,0.5601328015327454,0.3030436933040619,0.38164418935775757,0.0,0.39460277557373047,0.4246356785297394,0.3043402135372162,0.38,0
131,0.7025999426841736,0.49782657623291016,0.6144642233848572,0.5733900666236877,0.3662898540496826,0.0,0.0,1.13,1
132,0.7233180403709412,0.6848293542861938,0.5513007640838623,0.0,0.0,0.49232134222984314,0.5589950084686279,0.51,0
133,0.8251708745956421,0.834795355796814,0.7875783443450928,0.396420419216156,0.0,0.44156646728515625,0.0,1.06,1
134,0.7411379218101501,0.664672315120697,0.759972870349884,0.4225553572177887,0.0,0.34206417202949524,0.0,1.16,1
135,0.5932623147964478,0.624478280544281,0.41991692781448364,0.3053286671638489,0.27917560935020447,0.0,0.0,1.22,1
136,0.6892762184143066,0.6836119890213013,0.609363853931427,0.5227642059326172,0.29194262623786926,0.0,0.0,1.21,1
137,0.7773213386535645,0.7174416184425354,0.5008895397186279,0.0,0.0,0.6959441900253296,0.4103325605392456,0.59,0
138,0.743153989315033,0.7580028176307678,0.7660506963729858,0.6275832653045654,0.5210959911346436,0.4931315779685974,0.3823123872280121,0.12,0
139,0.8514302968978882,0.7240322828292847,0.732999861240387,0.5831395983695984,0.5140429735183716,0.3648955821990967,0.0,0.64,0
14,0.8260533213615417,0.8064886927604675,0.5059372782707214,0.5893879532814026,0.526070773601532,0.4568538963794708,0.27160078287124634,0.27,0
140,0.7791190147399902,0.7913742065429688,0.28558436036109924,0.27340537309646606,0.0,0.6213430166244507,0.5213443040847778,0.5,0
141,0.731503427028656,0.655035674571991,0.5114408731460571,0.6141153573989868,0.0,0.0,0.0,1.5,1
142,0.7609783411026001,0.715299129486084,0.655638575553894,0.8053040504455566,0.4321269392967224,0.5183254480361938,0.46677345037460327,0.1,0
143,0.7455827593803406,0.7910298109054565,0.7257993221282959,0.5492220520973206,0.5459033846855164,0.3067200779914856,0.0,0.69,0
144,0.6584348678588867,0.293489009141922,0.37319496273994446,0.2976587116718292,0.0,0.30339571833610535,0.0,1.2,1
145,0.841555118560791,0.7380349040031433,0.5067327618598938,0.3404650390148163,0.25544556975364685,0.4689466655254364,0.2681020200252533,0.51,0
146,0.7730589509010315,0.6911511421203613,0.7255605459213257,0.5780225396156311,0.28920307755470276,0.3770642876625061,0.0,0.83,0
147,0.31920281052589417,0.6961163282394409,0.7473470568656921,0.7429068684577942,0.6110460162162781,0.4516053795814514,0.0,0.55,0
148,0.7273029685020447,0.6555266380310059,0.3260251581668854,0.5374906659126282,0.0,0.4429967701435089,0.43025559186935425,0.63,0
149,0.7923935055732727,0.7955226898193359,0.6794668436050415,0.7339758276939392,0.6698848605155945,0.3868645429611206,0.27751466631889343,0.34,0
15,0.8522537350654602,0.7718231678009033,0.7172741889953613,0.6869679689407349,0.3779706060886383,0.5103861689567566,0.0,0.62,0
150,0.7601180672645569,0.7171031832695007,0.6674506664276123,0.5107953548431396,0.48498332500457764,0.43893197178840637,0.8084633350372314,0.08,0
151,0.6144202351570129,0.6675952076911926,0.6892099976539612,0.6169536113739014,0.4844552278518677,0.0,0.0,1.02,1
152,0.8231881260871887,0.592094361782074,0.4900591969490051,0.27822136878967285,0.0,0.6339107751846313,0.0,1.0,0
153,0.7695226669311523,0.4401470720767975,0.5598428249359131,0.7343947887420654,0.48036134243011475,0.4895099103450775,0.2537856698036194,0.28,0
154,0.8611350059509277,0.8381314873695374,0.8498244881629944,0.6702587008476257,0.4963495433330536,0.36915627121925354,0.0,0.63,0
155,0.8681867718696594,0.7974935173988342,0.6422212719917297,0.6021243929862976,0.3712584972381592,0.27622124552726746,0.33744698762893677,0.52,0
156,0.639176070690155,0.0,0.3078030049800873,0.0,0.6062403917312622,0.0,0.0,1.0,0
157,0.7733790278434753,0.8343520164489746,0.47336503863334656,0.578014612197876,0.3357374966144562,0.0,0.0,1.16,1
158,0.8855544924736023,0.8020430207252502,0.3171232044696808,0.5571455955505371,0.556516706943512,0.0,0.0,1.0,0
159,0.7757086753845215,0.6099816560745239,0.0,0.0,0.604182243347168,0.0,0.6092556118965149,0.5,0
16,0.8439479470252991,0.7645389437675476,0.0,0.0,0.38061124086380005,0.3498716950416565,0.6178632974624634,0.27,0
160,0.8558099269866943,0.8016324043273926,0.7564169764518738,0.45062685012817383,0.37839362025260925,0.31988421082496643,0.0,0.8,0
161,0.7785500288009644,0.6493087410926819,0.4307851791381836,0.42553016543388367,0.5883037447929382,0.38833343982696533,0.0,0.61,0
162,0.7894680500030518,0.586679220199585,0.5701499581336975,0.6092962622642517,0.405246764421463,0.45578470826148987,0.0,0.64,0
163,0.8405300378799438,0.37771740555763245,0.4721788167953491,0.3214081823825836,0.44877585768699646,0.0,0.0,1.05,1
164,0.7261351346969604,0.7365488409996033,0.48460155725479126,0.37579280138015747,0.3742843270301819,0.0,0.0,1.13,1
165,0.7057693600654602,0.7385355830192566,0.6905884146690369,0.3893526792526245,0.29094743728637695,0.3918224275112152,0.0,0.82,0
166,0.3589230477809906,0.7719779014587402,0.7123045325279236,0.6748371720314026,0.5730049014091492,0.30681803822517395,0.36223655939102173,0.33,0
167,0.7387242913246155,0.8044216632843018,0.6126344799995422,0.6708216667175293,0.43256497383117676,0.3544773757457733,0.0,0.71,0
168,0.7697361707687378,0.6871283054351807,0.758894681930542,0.5550379157066345,0.6068763136863708,0.3394308388233185,0.26410362124443054,0.4,0
169,0.8038730025291443,0.744869589805603,0.7008990049362183,0.6976521611213684,0.49589070677757263,0.44756075739860535,0.434632807970047,0.12,0
17,0.7878484725952148,0.7650733590126038,0.7127600312232971,0.38458251953125,0.47284963726997375,0.2821942865848541,0.0,0.74,0
170,0.8215817213058472,0.7462751865386963,0.46675631403923035,0.707893431186676,0.5589858889579773,0.39380884170532227,0.0,0.61,0
171,0.8193488121032715,0.7217144966125488,0.7597460746765137,0.807172954082489,0.4297044575214386,0.2688133716583252,0.0,0.8,0
172,0.7223283052444458,0.6697545647621155,0.25409582257270813,0.0,0.3019481599330902,0.0,0.0,1.2,1
173,0.8233177065849304,0.7732214331626892,0.5495825409889221,0.31987279653549194,0.0,0.6080491542816162,0.546552836894989,0.5,0
174,0.7849265933036804,0.6034574508666992,0.6905573010444641,0.6008108854293823,0.0,0.2610388696193695,0.0,1.24,1
175,0.7592220306396484,0.6518320441246033,0.6634325981140137,0.2582941949367523,0.46440669894218445,0.3671570420265198,0.0,0.67,0
176,0.8091182708740234,0.6559968590736389,0.7116898894309998,0.45405343174934387,0.5282757878303528,0.5322961807250977,0.33930066227912903,0.16,0
177,0.7492793798446655,0.6788290739059448,0.6158042550086975,0.5138211846351624,0.0,0.0,0.0,1.5,1
178,0.8610427379608154,0.7286337018013,0.7006406784057617,0.5678039193153381,0.4999152421951294,0.6136599183082581,0.6268895864486694,0.0,0
179,0.6948927640914917,0.6615117788314819,0.6801551580429077,0.7348292469978333,0.38562723994255066,0.0,0.0,1.11,1
18,0.7988319396972656,0.6508787274360657,0.5399982333183289,0.0,0.4141418933868408,0.0,0.0,1.09,1
180,0.7555115818977356,0.7468949556350708,0.7456030249595642,0.35418587923049927,0.0,0.0,0.0,1.5,1
181,0.7519751787185669,0.744617760181427,0.4066709876060486,0.6619770526885986,0.39462921023368835,0.5676199793815613,0.289005309343338,0.32,0
182,0.7735973000526428,0.7144615650177002,0.6450727581977844,0.5756415724754333,0.0,0.29760250449180603,0.0,1.2,1
183,0.7404086589813232,0.7725974917411804,0.838182806968689,0.6886271238327026,0.0,0.43799299001693726,0.0,1.06,1
184,0.8641189932823181,0.7850253582000732,0.45369675755500793,0.634082555770874,0.0,0.41049060225486755,0.0,1.09,1
185,0.8756489157676697,0.7884860038757324,0.6748886704444885,0.2807336151599884,0.3135804831981659,0.3452654480934143,0.0,0.84,0
186,0.8236961960792542,0.6618157029151917,0.475027859210968,0.37485751509666443,0.39319339394569397,0.43778762221336365,0.26536983251571655,0.4,0
187,0.7624846696853638,0.7442018389701843,0.4555228352546692,0.0,0.38246235251426697,0.3050641417503357,0.0,0.81,0
188,0.648171067237854,0.5831403136253357,0.7051571011543274,0.5457805395126343,0.46330317854881287,0.0,0.0,1.04,1
189,0.5087464451789856,0.7055009603500366,0.7907084226608276,0.6649413704872131,0.6831498146057129,0.44993162155151367,0.0,0.55,0
19,0.7676655054092407,0.6980264186859131,0.6834033727645874,0.5696083307266235,0.32843276858329773,0.3767344057559967,0.0,0.79,0
190,0.801519513130188,0.7486854791641235,0.3375175893306732,0.6646587252616882,0.5175877809524536,0.29915499687194824,0.0,0.7,0
191,0.8301149606704712,0.7729374170303345,0.717904806137085,0.5245866179466248,0.5144101977348328,0.32227203249931335,0.0,0.68,0
192,0.8125251531600952,0.2683490216732025,0.3228204846382141,0.6767880320549011,0.5124736428260803,0.2581630349159241,0.0,0.74,0
193,0.5693708062171936,0.4776947796344757,0.33228352665901184,0.0,0.4077744781970978,0.2988581359386444,0.33138740062713623,0.46,0
194,0.0,0.0,0.2539760172367096,0.3721608817577362,0.0,0.0,0.0,1.5,1
195,0.8004101514816284,0.7448912858963013,0.7930676341056824,0.8044561147689819,0.0,0.3069344758987427,0.0,1.19,1
196,0.7526549100875854,0.754099428653717,0.7369515299797058,0.697851300239563,0.4210994839668274,0.0,0.0,1.08,1
197,0.6311308741569519,0.6432454586029053,0.5245095491409302,0.48194265365600586,0.38816744089126587,0.44041192531585693,0.0,0.67,0
198,0.7959620952606201,0.7238343954086304,0.6853017210960388,0.5309861302375793,0.5205571055412292,0.5136274695396423,0.0,0.5,0
199,0.7891247272491455,0.7818750143051147,0.575650691986084,0.6760221719741821,0.27931344509124756,0.35315215587615967,0.511501669883728,0.37,0
2,0.6761192679405212,0.7394911646842957,0.6552668809890747,0.4665766656398773,0.31715893745422363,0.33194592595100403,0.0,0.85,0
20,0.819376528263092,0.6317545175552368,0.3418150544166565,0.7411081194877625,0.5244305729866028,0.36936482787132263,0.0,0.63,0
200,0.7868342399597168,0.7680670619010925,0.5443368554115295,0.41009026765823364,0.2986941933631897,0.67844158411026,0.3490636944770813,0.35,0
201,0.828697144985199,0.7866061329841614,0.6582141518592834,0.2865254878997803,0.0,0.4165094494819641,0.3257094621658325,0.76,0
202,0.7280674576759338,0.7165356278419495,0.3980729877948761,0.6119195222854614,0.0,0.455271452665329,0.0,1.04,1
203,0.6078018546104431,0.3807264268398285,0.4066309332847595,0.0,0.4276404082775116,0.0,0.0,1.07,1
204,0.7701590657234192,0.6450450420379639,0.2962276041507721,0.3304435610771179,0.34677523374557495,0.6959550380706787,0.7333345413208008,0.15,0
205,0.6999819278717041,0.5077134370803833,0.7053459882736206,0.6155478954315186,0.4470169246196747,0.5951442122459412,0.4608698785305023,0.09,0
206,0.7615876793861389,0.6894481182098389,0.69740891456604,0.563619077205658,0.0,0.40120360255241394,0.0,1.1,1
207,0.6712639331817627,0.6051256656646729,0.4597596824169159,0.0,0.4974760413169861,0.0,0.0,1.0,0
208,0.6993257999420166,0.6745954751968384,0.6346213817596436,0.4679616093635559,0.6812678575515747,0.0,0.2758532464504242,0.72,0
209,0.7860727906227112,0.7894294261932373,0.7219785451889038,0.3329245448112488,0.432647705078125,0.4521581530570984,0.0,0.62,0
21,0.7732462882995605,0.833740770816803,0.6783250570297241,0.5502838492393494,0.27413925528526306,0.28697842359542847,0.0,0.94,0
210,0.6571994423866272,0.7247154116630554,0.42669478058815,0.0,0.34998777508735657,0.334669291973114,0.0,0.82,0
211,0.6798353791236877,0.6269763708114624,0.30143052339553833,0.0,0.4492664933204651,0.34563225507736206,0.0,0.71,0
212,0.5951215028762817,0.3768371641635895,0.7586403489112854,0.42999380826950073,0.4458792805671692,0.0,0.0,1.05,1
213,0.7469854950904846,0.7272768616676331,0.6771767735481262,0.7202149033546448,0.39576971530914307,0.3919583559036255,0.0,0.71,0
214,0.5864030122756958,0.0,0.3357388973236084,0.0,0.6036824584007263,0.5109073519706726,0.0,0.5,0
215,0.8447669744491577,0.7851116061210632,0.734997570514679,0.666607677936554,0.0,0.25260022282600403,0.0,1.25,1
216,0.7777305841445923,0.4341943860054016,0.4806731641292572,0.0,0.4034872055053711,0.5578810572624207,0.0,0.6,0
217,0.84745192527771,0.7258832454681396,0.7479080557823181,0.3507240414619446,0.4982583522796631,0.4489787817001343,0.0,0.55,0
218,0.8060454726219177,0.33686748147010803,0.7802768349647522,0.46567246317863464,0.252910852432251,0.0,0.0,1.25,1
219,0.6360518336296082,0.719548761844635,0.3057940900325775,0.5825921297073364,0.5311335325241089,0.48583173751831055,0.0,0.51,0
22,0.7142595052719116,0.7780392169952393,0.5500189661979675,0.3948684334754944,0.3716237545013428,0.5288351774215698,0.0,0.63,0
220,0.8086162805557251,0.6959914565086365,0.7888157367706299,0.3189208507537842,0.0,0.28201693296432495,0.0,1.22,1
221,0.8532629609107971,0.7673044204711914,0.7375625967979431,0.6815162897109985,0.30859634280204773,0.37436041235923767,0.0,0.82,0
